fips,Vaccination,Masks,Close_schools,Date
2,0,0,0,2020-01-01
2,0,0,1,2020-03-16
2,0,1,1,2020-06-29
2,1,1,1,2021-03-09
2,1,1,0,2021-03-15
2,1,0,0,2021-11-22
2,1,1,0,2022-02-02
2,1,0,0,2022-02-15
2,0,0,0,2022-05-02
1,0,0,0,2020-01-01
1,0,0,1,2020-03-19
1,0,1,1,2020-05-01
1,0,1,0,2021-04-05
1,0,0,0,2021-04-09
1,1,0,0,2021-04-10
1,1,1,0,2021-09-17
1,1,0,0,2021-10-11
1,0,0,0,2022-04-12
1,1,0,0,2022-04-17
1,0,0,0,2022-04-28
5,0,0,0,2020-01-01
5,0,0,1,2020-03-17
5,0,1,1,2020-06-16
5,0,1,0,2020-08-27
5,0,1,1,2020-09-29
5,0,1,0,2020-10-19
5,0,1,1,2020-11-03
5,0,1,0,2021-02-28
5,1,1,0,2021-03-30
5,1,0,0,2021-04-01
5,1,0,1,2022-01-20
5,1,0,0,2022-01-22
5,1,0,1,2022-01-25
5,1,0,0,2022-02-08
5,0,0,0,2022-04-30
4,0,0,0,2020-01-01
4,0,0,1,2020-03-16
4,0,1,1,2020-06-19
4,0,1,0,2021-03-15
4,0,0,0,2021-03-25
4,1,0,0,2021-04-05
4,1,1,0,2021-04-06
4,1,0,0,2021-05-19
4,0,0,0,2022-05-05
6,0,0,0,2020-01-01
6,0,0,1,2020-03-13
6,0,1,1,2020-04-06
6,1,1,1,2021-04-15
6,1,0,1,2021-06-08
6,1,0,0,2021-07-30
6,1,0,1,2022-01-04
6,1,0,0,2022-01-25
6,0,0,0,2022-05-05
8,0,0,0,2020-01-01
8,0,0,1,2020-03-16
8,0,1,1,2020-10-11
8,1,1,1,2021-04-02
8,1,0,1,2021-04-03
8,1,1,1,2021-05-02
8,1,0,1,2021-05-05
8,1,0,0,2021-07-20
8,1,0,1,2021-10-26
8,1,0,0,2022-02-01
8,0,0,0,2022-04-26
9,0,0,0,2020-01-01
9,0,0,1,2020-03-11
9,0,1,1,2020-04-20
9,1,1,1,2021-04-01
9,1,0,1,2021-05-19
9,1,0,0,2021-06-01
9,1,0,1,2022-01-11
9,0,0,0,2022-04-26
10,0,0,0,2020-01-01
10,0,0,1,2020-03-16
10,0,1,1,2020-04-28
10,1,1,1,2021-04-06
10,1,0,1,2021-05-21
10,1,0,0,2021-11-09
10,0,0,0,2022-05-03
12,0,0,0,2020-01-01
12,0,0,1,2020-03-12
12,0,1,1,2020-04-13
12,0,1,0,2020-10-05
12,0,1,1,2020-11-30
12,0,1,0,2021-01-25
12,1,1,0,2021-04-05
12,1,0,0,2021-05-03
12,1,0,1,2021-09-01
12,1,0,0,2021-09-08
12,1,0,1,2022-01-04
12,1,0,0,2022-01-18
12,0,0,0,2022-04-29
13,0,0,0,2020-01-01
13,0,0,1,2020-03-18
13,0,0,0,2021-02-23
13,1,0,0,2021-03-25
13,1,1,0,2021-08-31
13,1,0,0,2021-11-24
13,0,0,0,2022-05-02
15,0,0,0,2020-01-01
15,0,0,1,2020-03-23
15,0,1,1,2020-07-02
15,1,1,1,2021-04-19
15,1,1,0,2021-06-18
15,1,0,0,2021-09-14
15,0,0,0,2022-05-05
19,0,0,0,2020-01-01
19,0,0,1,2020-04-02
19,0,1,1,2020-07-21
19,0,1,0,2020-11-10
19,0,1,1,2020-11-11
19,0,1,0,2021-02-03
19,1,1,0,2021-04-05
19,1,0,0,2021-05-18
19,1,1,0,2021-10-06
